Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10,mean,std_dev
-0.8024013425000663,-0.7451572309007539,1.35670741382783,-1.6137848690166836,-1.3189273959494383,-1.2024866170237023,-1.1422966289271683,0.0213764742724847,0.2420730972931082,0.1919147738793301,0.0013131449069732,-0.0488451785068049,0.9442896250860024,0.6333080199205777,0.2821997560241306,,
-0.7024092752447672,-0.61035545968962,-0.6458012276510339,0.4326747262654651,-1.2403739900370945,-1.6137848690166836,-1.2024866170237023,-1.1422966289271683,0.0213764742724847,0.2420730972931082,0.1919147738793301,0.0013131449069732,-0.0488451785068049,0.9442896250860024,0.6333080199205777,,
-0.7024092752447672,-0.61035545968962,-1.1143547816460884,1.1148279246928483,-1.1618205841247502,0.4326747262654651,-1.6137848690166836,-1.2024866170237023,-1.1422966289271683,0.0213764742724847,0.2420730972931082,0.1919147738793301,0.0013131449069732,-0.0488451785068049,0.9442896250860024,,
-0.7024092752447672,-0.5429545740840913,1.133586673830185,-1.0018533233685898,-1.114688540577344,1.1148279246928483,0.4326747262654651,-1.6137848690166836,-1.2024866170237023,-1.1422966289271683,0.0213764742724847,0.2420730972931082,0.1919147738793301,0.0013131449069732,-0.0488451785068049,,
-0.7024092752447672,-0.5429545740840913,2.7679460943129346,-2.0451464503751757,-1.0675564970299374,-1.0018533233685898,1.1148279246928483,0.4326747262654651,-1.6137848690166836,-1.2024866170237023,-1.1422966289271683,0.0213764742724847,0.2420730972931082,0.1919147738793301,0.0013131449069732,,
-0.7024092752447672,-0.5429545740840913,0.0179829738419599,0.8439729782584461,-1.0361351346649998,-2.0451464503751757,-1.0018533233685898,1.1148279246928483,0.4326747262654651,-1.6137848690166836,-1.2024866170237023,-1.1422966289271683,0.0213764742724847,0.2420730972931082,0.1919147738793301,,
-0.7024092752447672,-0.5429545740840913,-1.2705392996444398,0.663403013968845,-1.0047137723000623,0.8439729782584461,-2.0451464503751757,-1.0018533233685898,1.1148279246928483,0.4326747262654651,-1.6137848690166836,-1.2024866170237023,-1.1422966289271683,0.0213764742724847,0.2420730972931082,,
-0.652413241617146,-0.5429545740840913,-0.7183154681502685,0.5630863671412888,-0.9575817287526558,0.663403013968845,0.8439729782584461,-2.0451464503751757,-1.0018533233685898,1.1148279246928483,0.4326747262654651,-1.6137848690166836,-1.2024866170237023,-1.1422966289271683,0.0213764742724847,,
-0.6024172079894964,-0.5429545740840913,-1.2984293921441454,1.4559045239065398,-0.9104496852052494,0.5630863671412888,0.663403013968845,0.8439729782584461,-2.0451464503751757,-1.0018533233685898,1.1148279246928483,0.4326747262654651,-1.6137848690166836,-1.2024866170237023,-1.1422966289271683,,
-0.5524211743618752,-0.4755536884785243,0.5200046388366611,-0.7510617062996991,-0.8318962792929054,1.4559045239065398,0.5630863671412888,0.663403013968845,0.8439729782584461,-2.0451464503751757,-1.0018533233685898,1.1148279246928483,0.4326747262654651,-1.6137848690166836,-1.2024866170237023,-0.033797681482671524,1.2184905712222158
-0.5524211743618752,-0.4755536884785243,-0.913546115648208,0.2721680913413756,-0.784764235745499,-0.7510617062996991,1.4559045239065398,0.5630863671412888,0.663403013968845,0.8439729782584461,-2.0451464503751757,-1.0018533233685898,1.1148279246928483,0.4326747262654651,-1.6137848690166836,0.1547976145531344,1.085461864518552
-0.6024172079894964,-0.4755536884785243,-0.4951947281526235,0.4828330496792433,-0.706210829833155,0.2721680913413756,-0.7510617062996991,1.4559045239065398,0.5630863671412888,0.663403013968845,0.8439729782584461,-2.0451464503751757,-1.0018533233685898,1.1148279246928483,0.4326747262654651,0.1598134468945122,1.087003378593382
-0.5524211743618752,-0.4755536884785243,0.2355256953396638,-0.9316316705893004,-0.6747894674682174,0.4828330496792433,0.2721680913413756,-0.7510617062996991,1.4559045239065398,0.5630863671412888,0.663403013968845,0.8439729782584461,-2.0451464503751757,-1.0018533233685898,1.1148279246928483,-0.04483251263370266,1.0798450099601964
