Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
-0.6250000000000022,-0.652173913043475,0.25396825396825395,0.19852941176470565,-0.9908256880733946
-0.5937500000000128,-0.6086956521739249,-0.5026455026455027,0.45588235294117635,-0.963302752293578
-0.6250000000000022,-0.6956521739130499,-0.026455026455026454,0.6838235294117648,-0.944954128440367
-0.5937500000000128,-0.652173913043475,-0.37037037037037035,-0.04411764705882365,-0.926605504587156
-0.5937500000000128,-0.6086956521739249,-0.5026455026455027,-0.007352941176470696,-0.908256880733945
-0.6250000000000022,-0.652173913043475,-0.4126984126984127,0.13235294117647042,-0.8899082568807339
-0.6250000000000022,-0.652173913043475,0.291005291005291,0.1691176470588234,-0.8623853211009175
-0.6250000000000022,-0.652173913043475,0.12698412698412698,0.007352941176470696,-0.8440366972477065
-0.5625000000000056,-0.6086956521739249,0.8677248677248677,-0.845588235294118,-0.8256880733944955
-0.5000000000000089,-0.4782608695652249,1.2592592592592593,-0.8897058823529417,-0.7981651376146789
-0.5312500000000161,-0.5217391304347998,1.4761904761904763,-1.191176470588236,-0.7706422018348624
-0.46875000000000167,-0.43478260869565005,-0.42328042328042326,0.3088235294117645,-0.7247706422018348
-0.46875000000000167,-0.43478260869565005,-0.8677248677248677,0.808823529411765,-0.6788990825688074
-0.46875000000000167,-0.39130434782609985,1.2645502645502646,-0.7426470588235299,-0.6513761467889908
-0.46875000000000167,-0.39130434782609985,2.814814814814815,-1.5073529411764712,-0.6238532110091743
-0.46875000000000167,-0.39130434782609985,0.20634920634920634,0.6102941176470589,-0.6055045871559633
-0.46875000000000167,-0.39130434782609985,-1.0158730158730158,0.4779411764705884,-0.5871559633027523
-0.4375000000000122,-0.39130434782609985,-0.49206349206349204,0.4044117647058825,-0.5596330275229358
-0.406250000000005,-0.39130434782609985,-1.0423280423280423,1.058823529411765,-0.5321100917431193
-0.37500000000001554,-0.34782608695652495,0.6825396825396826,-0.558823529411765,-0.48623853211009177
-0.37500000000001554,-0.34782608695652495,-0.6772486772486772,0.19117647058823548,-0.45871559633027525
-0.406250000000005,-0.34782608695652495,-0.2804232804232804,0.3455882352941175,-0.41284403669724773
-0.37500000000001554,-0.34782608695652495,0.4126984126984127,-0.6911764705882357,-0.3944954128440367
-0.3437500000000083,-0.3043478260869748,1.3492063492063493,-1.0588235294117654,-0.3669724770642202
-0.3437500000000083,-0.3043478260869748,0.30687830687830686,-0.20588235294117688,-0.3486238532110092
-0.3437500000000083,-0.2608695652173999,1.8941798941798942,-1.2352941176470593,-0.3211009174311927
-0.3125000000000011,-0.2608695652173999,0.047619047619047616,-0.08088235294117661,-0.30275229357798167
-0.3125000000000011,-0.3043478260869748,1.6296296296296295,-1.1397058823529416,-0.28440366972477066
-0.3125000000000011,-0.3043478260869748,-0.3386243386243386,0.3014705882352943,-0.23853211009174313
-0.3437500000000083,-0.3043478260869748,1.0052910052910053,-0.7352941176470591,-0.22018348623853212
-0.3125000000000011,-0.2608695652173999,-0.8677248677248677,0.595588235294118,-0.2018348623853211
-0.3437500000000083,-0.3043478260869748,1.560846560846561,-1.0735294117647065,-0.1743119266055046
-0.3437500000000083,-0.3043478260869748,-0.4444444444444444,0.6029411764705882,-0.1559633027522936
-0.37500000000001554,-0.34782608695652495,0.8571428571428571,-0.558823529411765,-0.13761467889908258
-0.406250000000005,-0.43478260869565005,0.2962962962962963,-0.39705882352941185,-0.11926605504587157
-0.406250000000005,-0.39130434782609985,-0.2698412698412698,0.6250000000000002,-0.09174311926605505
-0.37500000000001554,-0.39130434782609985,0.4126984126984127,-0.25,-0.06422018348623854
-0.406250000000005,-0.43478260869565005,-0.3386243386243386,-0.06617647058823521,-0.03669724770642202
-0.37500000000001554,-0.39130434782609985,-0.656084656084656,0.7794117647058828,-0.01834862385321101
-0.406250000000005,-0.43478260869565005,-0.8095238095238095,0.9117647058823533,0.027522935779816515
-0.406250000000005,-0.43478260869565005,-0.746031746031746,0.3897058823529411,0.045871559633027525
-0.406250000000005,-0.43478260869565005,-0.7142857142857143,0.7867647058823529,0.06422018348623854
-0.406250000000005,-0.43478260869565005,-0.7142857142857143,0.6617647058823533,0.08256880733944955
-0.406250000000005,-0.39130434782609985,-0.6931216931216931,0.6176470588235295,0.11009174311926606
-0.406250000000005,-0.43478260869565005,-0.164021164021164,0.5441176470588237,0.1559633027522936
-0.406250000000005,-0.43478260869565005,-0.07407407407407407,0.6617647058823533,0.1834862385321101
-0.4375000000000122,-0.4782608695652249,1.7989417989417988,-1.0514705882352946,0.2018348623853211
-0.406250000000005,-0.43478260869565005,-0.4497354497354497,0.45588235294117635,0.22935779816513763
-0.406250000000005,-0.39130434782609985,-0.4126984126984127,1.0147058823529413,0.24770642201834864
-0.37500000000001554,-0.39130434782609985,-0.48148148148148145,0.29411764705882365,0.29357798165137616
-0.37500000000001554,-0.43478260869565005,7.185185185185185,-2.6102941176470598,0.3211009174311927
-0.37500000000001554,-0.43478260869565005,-0.6349206349206349,1.0882352941176474,0.3394495412844037
-0.406250000000005,-0.4782608695652249,-0.031746031746031744,0.2720588235294116,0.3577981651376147
-0.4375000000000122,-0.4782608695652249,0.328042328042328,-0.36764705882352955,0.4036697247706422
-0.4375000000000122,-0.4782608695652249,0.9947089947089947,-0.7352941176470591,0.42201834862385323
-0.406250000000005,-0.43478260869565005,0.047619047619047616,0.04411764705882365,0.44036697247706424
-0.406250000000005,-0.43478260869565005,-0.13756613756613756,0.1691176470588234,0.45871559633027525
-0.406250000000005,-0.43478260869565005,0.05291005291005291,0.01470588235294087,0.47706422018348627
-0.406250000000005,-0.4782608695652249,0.8359788359788359,-0.7794117647058828,0.4954128440366973
-0.406250000000005,-0.43478260869565005,-0.6613756613756614,1.0514705882352944,0.5229357798165137
-0.406250000000005,-0.43478260869565005,-0.582010582010582,0.9191176470588239,0.5412844036697247
-0.406250000000005,-0.4782608695652249,0.4708994708994709,-0.13970588235294112,0.5596330275229358
-0.406250000000005,-0.4782608695652249,1.7248677248677249,-1.264705882352942,0.5871559633027523
-0.37500000000001554,-0.4782608695652249,1.6349206349206349,-1.0441176470588243,0.6055045871559633
-0.3437500000000083,-0.43478260869565005,0.10582010582010581,-0.11029411764705888,0.6330275229357798
-0.3437500000000083,-0.43478260869565005,-0.5767195767195767,0.36764705882352955,0.6513761467889908
-0.37500000000001554,-0.5217391304347998,0.9312169312169312,-0.8382352941176475,0.6697247706422018
-0.406250000000005,-0.5217391304347998,-0.19576719576719576,0.29411764705882365,0.6972477064220184
-0.406250000000005,-0.5217391304347998,0.12698412698412698,-0.5661764705882357,0.7431192660550459
-0.37500000000001554,-0.4782608695652249,-0.49206349206349204,1.8823529411764715,0.7614678899082569
-0.37500000000001554,-0.4782608695652249,2.2275132275132274,-1.2867647058823535,0.7798165137614679
-0.37500000000001554,-0.43478260869565005,-0.2698412698412698,0.39705882352941185,0.8073394495412844
-0.37500000000001554,-0.43478260869565005,-0.708994708994709,0.3161764705882352,0.8256880733944955
-0.3437500000000083,-0.43478260869565005,0.4708994708994709,-0.3750000000000003,0.8440366972477065
